Timestamp,Year,Gender,Branch,What should be the ideal length of the movie that you generally prefer?,Which movie genre do you prefer the most?,Does the lead Actor/Actress in the movie matters whether you will watch the movie?,Which industry's movies do you generally enjoy watching?,Are you a documentary or web series guy?,Where do you like to watch a movie or web series?,Do you enjoy watching older movies or only recently released movies?
1/11/2025 1:17:06,2nd year,Male,DSAI,2 to 3 hrs,Romance,Yes,Don't care ( I am just a chill guy),Web Series (ofc),Television,Anything works ( Chill guy)
1/11/2025 1:18:48,1st year,...,other,< 1 hr,Other,Yes,Anime,Web Series (ofc),Theatre,Old Gen movies
1/11/2025 1:31:44,2nd year,Male,CSE,1 to 2 hrs,Sci-Fi,No,Hollywood,Web Series (ofc),Mobile/ Laptop,New movies only
1/11/2025 1:33:08,3rd year,Male,ME,< 1 hr,Horror,Sometimes :|,Hollywood,Web Series (ofc),Mobile/ Laptop,Anything works ( Chill guy)
1/11/2025 1:35:00,3rd year,Male,CSE,2 to 3 hrs,Action,Sometimes :|,Hollywood,Web Series (ofc),Mobile/ Laptop,Anything works ( Chill guy)
1/11/2025 1:36:17,1st year,Female,DSAI,2 to 3 hrs,Horror,Yes,Don't care ( I am just a chill guy),Web Series (ofc),Theatre,Anything works ( Chill guy)
1/11/2025 1:36:52,4th year,Female,EE,2 to 3 hrs,Comedy,Sometimes :|,Don't care ( I am just a chill guy),Web Series (ofc),Mobile/ Laptop,Anything works ( Chill guy)
1/11/2025 1:41:07,2nd year,Male,CSE,2 to 3 hrs,Action,Sometimes :|,Don't care ( I am just a chill guy),Web Series (ofc),Mobile/ Laptop,Anything works ( Chill guy)
1/11/2025 1:41:23,2nd year,Male,MSME,2 to 3 hrs,Comedy,Yes,Hollywood,Web Series (ofc),Mobile/ Laptop,Old Gen movies
1/11/2025 1:43:45,4th year,Male,CSE,1 to 2 hrs,Romance,Yes,Anime,Web Series (ofc),Mobile/ Laptop,Anything works ( Chill guy)
1/11/2025 1:44:38,3rd year,...,MSME,> 3 hrs,Other,Sometimes :|,Hollywood,Web Series (ofc),Television,Anything works ( Chill guy)
1/11/2025 1:45:19,3rd year,Male,DSAI,1 to 2 hrs,Comedy,Yes,Bollywood,Web Series (ofc),Mobile/ Laptop,Anything works ( Chill guy)
1/11/2025 1:45:49,4th year,Male,DSAI,2 to 3 hrs,Other,Sometimes :|,Don't care ( I am just a chill guy),,Theatre,Anything works ( Chill guy)
1/11/2025 1:51:18,1st year,Male,CSE,1 to 2 hrs,Horror,No,Don't care ( I am just a chill guy),Documentary,Mobile/ Laptop,Anything works ( Chill guy)
1/11/2025 1:57:11,2nd year,Male,CSE,1 to 2 hrs,Other,Sometimes :|,Tollywood,Web Series (ofc),Television,Anything works ( Chill guy)
1/11/2025 2:01:48,1st year,Female,ECE,1 to 2 hrs,Sci-Fi,No,Don't care ( I am just a chill guy),Web Series (ofc),Mobile/ Laptop,Anything works ( Chill guy)
1/11/2025 2:10:01,2nd year,Male,EE,2 to 3 hrs,Action,No,Hollywood,Web Series (ofc),Television,New movies only
1/11/2025 2:14:43,2nd year,Male,DSAI,1 to 2 hrs,Horror,Sometimes :|,Hollywood,Web Series (ofc),Mobile/ Laptop,New movies only
1/11/2025 2:21:34,Other,Male,ME,2 to 3 hrs,Sci-Fi,No,Hollywood,Web Series (ofc),Mobile/ Laptop,Anything works ( Chill guy)
1/11/2025 2:25:15,2nd year,Male,ME,2 to 3 hrs,Comedy,Sometimes :|,Tollywood,Web Series (ofc),Television,Anything works ( Chill guy)
1/11/2025 2:35:45,2nd year,Male,DSAI,2 to 3 hrs,Action,No,Tollywood,Documentary,Mobile/ Laptop,Old Gen movies
1/11/2025 2:36:44,2nd year,Male,EE,1 to 2 hrs,Action,Yes,Bollywood,Web Series (ofc),Theatre,Anything works ( Chill guy)
1/11/2025 2:46:30,2nd year,Male,DSAI,> 3 hrs,Romance,Yes,Hollywood,Web Series (ofc),Mobile/ Laptop,Anything works ( Chill guy)
1/11/2025 2:47:12,2nd year,Male,DSAI,1 to 2 hrs,Sci-Fi,Yes,Tollywood,Web Series (ofc),Mobile/ Laptop,Anything works ( Chill guy)
1/11/2025 2:48:41,Other,Male,other,1 to 2 hrs,Sci-Fi,Sometimes :|,Hollywood,Documentary,Mobile/ Laptop,Anything works ( Chill guy)
1/11/2025 2:49:19,4th year,Male,CSE,2 to 3 hrs,Comedy,Sometimes :|,Don't care ( I am just a chill guy),Web Series (ofc),Theatre,Anything works ( Chill guy)
1/11/2025 2:53:52,2nd year,Male,other,,Other,No,Hollywood,Web Series (ofc),Mobile/ Laptop,Anything works ( Chill guy)
1/11/2025 2:59:39,3rd year,Male,CSE,2 to 3 hrs,Action,Sometimes :|,Bollywood,Web Series (ofc),Mobile/ Laptop,Anything works ( Chill guy)
1/11/2025 3:01:16,3rd year,Male,ME,1 to 2 hrs,Comedy,No,Don't care ( I am just a chill guy),Web Series (ofc),Mobile/ Laptop,Old Gen movies
1/11/2025 4:36:18,1st year,Male,ME,2 to 3 hrs,Horror,Sometimes :|,Hollywood,Web Series (ofc),Mobile/ Laptop,Old Gen movies
1/11/2025 6:11:06,Other,Male,other,2 to 3 hrs,Comedy,Sometimes :|,Bollywood,Web Series (ofc),Theatre,Anything works ( Chill guy)
1/11/2025 6:15:55,4th year,Male,DSAI,1 to 2 hrs,Comedy,Yes,Hollywood,Web Series (ofc),Mobile/ Laptop,Anything works ( Chill guy)
